Keyphrase,Count
seeking treatment,1
examine military,1
military personnels,1
personnels attitudes,1
attitudes beliefs,1
beliefs needs,1
illness compared,1
compared sought,1
conducted crosssectional,1
ordinal performed,1
crosssectional questionnaire,1
questionnaire military,1
illness descriptive,1
descriptive regression,1
analyses logistic,1
higher preference,1
lower belief,1
strongly related,1
intention seek,1
belief treatment,1
treatment strongly,1
treatment effective,1
seek treatment,1
facilitate early,1
treatment neededpurpose,1
seeking interventions,1
interventions align,1
align high,1
high preference,1
selfmanagement mental,1
illness stigma,1
approximately randomized,1
report trial,1
randomized controlled,1
published leading,1
leading publication,1
publication bias,1
decisionmaking qualitative,1
qualitative interviews,1
conducted understand,1
key themes,1
investigators coordinators,1
ethics board,1
board members,1
ethical review,1
review trials,1
trials administrators,1
administrators knowledge,1
knowledge dissemination,1
fully protect,1
publication rights,1
involved conduct,1
participants involved,1
trial agreements,1
coordinator administrators,1
administrators ethics,1
implications,1
group members,1
underlying assumptions,1
task performance,1
individual group,1
grant applications,1
algorithmic evaluation,1
selected funding,1
people higher,1
recruiter nationality,1
reverse engineering,1
strategic leadership,1
social categories,1
longterm prospects,1
citation classics,1
profits growth,1
customer valuation,1
adaptiveness customer,1
valuation skills,1
highly cited,1
academicians alike,1
intelligence interrelates,1
interrelates employee,1
timely crucial,1
crucial topic,1
topic human,1
resource organizational,1
intelligence employee,1
examined mediating,1
effect persongroup,1
sequential mediation,1
paperbased surveys,1
surveys conducted,1
conducted collect,1
analysis responses,1
responses revealed,1
revealed hypotheses,1
hypotheses strongly,1
strongly supported,1
collect data,1
data analysis,1
found sequential,1
exists persongroup,1
findings offer,1
offer significant,1
significant contribution,1
nonfamily firms,1
family firms,1
family nonfamily,1
firms prefer,1
emerging market,1
ceo international,1
firms drawn,1
boardlevel attributes,1
internationalization strategies,1
executive recruitment,1
despite increasing,1
remains maledominated,1
increasing numbers,1
numbers female,1
students surgery,1
surgery remains,1
despite,1
maledominated,1
increasing,1
purpose,1
highlight principal,1
aspiring female,1
principal career,1
career obstacles,1
obstacles experienced,1
experienced aspiring,1
highlight,1
principal,1
career,1
narrative review,1
embase databases,1
review literature,1
literature position,1
position career,1
career barriers,1
barriers female,1
female conducted,1
conducted medline,1
medline embase,1
male contemporaries,1
challenges overlooked,1
explicit biases,1
remain prevalent,1
prevalent negatively,1
negatively impacting,1
impacting training,1
training performance,1
performance overall,1
overall professional,1
workforce integration,1
examining workforce,1
voicing accusations,1
integration international,1
delay voicing,1
international graduates,1
business leader,1
levels analysis,1
social network,1
perceive victims,1
httpsosfiozgbse,1
published report,1
report projected,1
studies carried,1
carried forecasts,1
forecasts required,1
required number,1
years constantly,1
constantly updated,1
updated universities,1
explores current,1
utilized verify,1
current key,1
key reasons,1
reasons low,1
studies problem,1
problem gender,1
gender discrimination,1
discrimination societal,1
addition high,1
high cost,1
shift financial,1
financial obligations,1
continues suffer,1
inequality reasons,1
models young,1
moral primacy,1
male academics,1
information targets,1
genderassociated terms,1
leads underrepresentation,1
maker picks,1
picks candidates,1
candidates highest,1
disparities science,1
noisy estimate,1
positions relevant,1
positions,1
relevant,1
constraints needed,1
score computed,1
needed order,1
order correct,1
correct implicit,1
implicit societal,1
societal biases,1
biases input,1
input data,1
data reflected,1
tackle problem,1
selecting subset,1
problem selecting,1
tackle,1
subset,1
problem,1
selecting,1
individuals pool,1
individuals,1
pool,1
maximizing global,1
global utility,1
respecting groupfairness,1
groupfairness criteria,1
criteria particular,1
particular tackle,1
tackle fair,1
candidates maximizing,1
candidates respecting,1
candidates,1
ranking problem,1
problem adopt,1
adopt ranked,1
ranked groupfairness,1
groupfairness definition,1
definition extends,1
extends standard,1
standard notion,1
notion group,1
group fairness,1
ranking remains,1
remains statistically,1
statistically indistinguishable,1
indistinguishable minimum,1
minimum threshold,1
threshold notion,1
notion utility,1
utility requires,1
requires intuitively,1
individual included,1
candidate included,1
pair candidates,1
included,1
pair,1
qualified candidate,1
candidate ranked,1
ranked,1
main contribution,1
contribution algorithm,1
algorithm producing,1
producing fair,1
algorithm,1
producing,1
fair,1
women men,1
intergroup biases,1
perceived resiliency,1
resilience narratives,1
cultural differences,1
brain regions,1
revealing burnout,1
transgender women,1
social norms,1
withinsubjects designs,1
designs betweensubjects,1
conducted,1
withinsubjects,1
designs,1
betweensubjects,1
human interview,1
systematically varying,1
screening human,1
varying information,1
information job,1
job advertisements,1
advertisements automation,1
automation different,1
different stages,1
stages selection,1
showed small,1
perceptions intentions,1
negative effects,1
study3 jobseekers,1
jobseekers preprocess,1
preprocess expectations,1
expectations perceptions,1
screening conducted,1
human stronger,1
offender ethnicity,1
racial codeswitching,1
white participants,1
andor behavioral,1
victim offender,1
female cfos,1
secondhand housing,1
protected group,1
ambidextrous acquisitions,1
disproportionately affects,1
experiencing poverty,1
poverty structural,1
structural discrimination,1
discrimination african,1
generosity temporary,1
temporary assistance,1
aim understand,1
understand tanfs,1
tanfs impact,1
perpetration child,1
effect differs,1
impact mothers,1
mothers perpetration,1
white mothers,1
aim,1
participants setting,1
participants primary,1
birth cohort,1
primary caregiving,1
caregiving mothers,1
mothers participating,1
participating waves,1
usbased fragile,1
fragile families,1
families child,1
child wellbeing,1
use differenceindifferences,1
family caps,1
differenceindifferences estimate,1
estimate overall,1
overall racespecific,1
racespecific effects,1
policies caregivers,1
caregivers selfreport,1
selfreport child,1
child neglect,1
physical abuse,1
abuse events,1
reported physical,1
events beta,1
reduction reported,1
imposing time,1
time limit,1
differences found,1
versus white,1
relevance,1
manipulation information,1
automated augmented,1
reactions automated,1
demanding situations,1
increasing tanf,1
prioritized reduce,1
reduce povertyrelated,1
povertyrelated child,1
online peer,1
recruiters practitioners,1
sites contain,1
practitioners increasingly,1
increasingly relying,1
activities developers,1
developers find,1
find suitable,1
designed profile,1
recruitment tool,1
profile aggregation,1
types peer,1
sites code,1
code hosting,1
hosting site,1
site github,1
performed scenariobased,1
resume making,1
scenariobased evaluation,1
evaluation identify,1
identify participants,1
participants use,1
use developers,1
online contributions,1
contributions peer,1
analysis helped,1
select candidate,1
helped identifying,1
identifying technical,1
soft skill,1
skill cues,1
cues useful,1
making online,1
online production,1
suggest visual,1
contributions allows,1
visual resume,1
evaluate cues,1
cues technical,1
soft skills,1
skills efficiently,1
efficiently presents,1
presents aggregated,1
literature shows,1
employment disparity,1
shows female,1
female lower,1
lower operative,1
operative volumes,1
volumes male,1
volume dependent,1
dependent new,1
clinical subspecialty,1
data large,1
large center,1
center examined,1
examined number,1
number new,1
referrals multivariate,1
multivariate linear,1
surgeonmonths included,1
included overall,1
overall median,1
interquartile range,1
range iqr,1
iqr adjusted,1
adjusted analysis,1
analysis female,1
matureaged job,1
firm performance,1
performance appraisal,1
nonfinancial performance,1
hierarchymaintaining roles,1
job postings,1
career capital,1
teaching evaluation,1
quality outcomes,1
wash programs,1
active participation,1
participation inclusive,1
inclusive water,1
water sanitation,1
sanitation hygiene,1
roles limit,1
access formal,1
interviewed men,1
health improvements,1
women communitybased,1
districts nepal,1
nepal identified,1
identified challenges,1
challenges sources,1
tangible emotional,1
theory assessed,1
support women,1
behavior change,1
relational approaches,1
approaches leveraged,1
ties encourage,1
formative identify,1
drivers sanctions,1
sanctions drive,1
working outside,1
foreign experience,1
differences math,1
choice modelling,1
customer experience,1
interest fit,1
returns college,1
prior studies,1
studies shown,1
influence learners,1
learners assessed,1
assessed feedback,1
feedback receive,1
receive investigated,1
investigated quality,1
quality faculty,1
assessments surgical,1
trainees university,1
university british,1
british columbia,1
columbia rated,1
rated mcmaster,1
comment rating,1
rating scale,1
inputted generalized,1
men assessors,1
comments men,1
men trainees,1
significantly positive,1
reinforcing corrective,1
assessments women,1
trainees significantly,1
trainees reinforcing,1
higherquality comments,1
positive comments,1
individuals households,1
trainees gender,1
solutions improve,1
improve reduce,1
discussedbehaviors characterized,1
internally coordinated,1
coordinated responses,1
network formation,1
chapter details,1
technology adoption,1
models network,1
formation directed,1
details basis,1
theory appropriate,1
appropriate applications,1
applications comprises,1
directed undirected,1
transparency algorithmbased,1
algorithmbased hrm,1
opacity transparency,1
strategies reduce,1
strategymaking processes,1
reduce opacity,1
corporate strategymaking,1
resource management,1
erm frameworks,1
product assembling,1
antecedents phenomenon,1
assembling employee,1
artificial intelligence,1
phenomenon outcomes,1
goodness power,1
profile features,1
computer system,1
affective meaning,1
repertory grid,1
instead employing,1
simplify interpret,1
mental models,1
grid technique,1
employing surveys,1
surveys incorporating,1
incorporating predefined,1
predefined buying,1
buying factors,1
time limits,1
health problems,1
financial constraints,1
constraints risk,1
food waste,1
ecodesign packaging,1
people mental,1
labour market,1
apologize inconvenience,1
editorinchief journal,1
cause questions,1
directly contact,1
contact editorinchief,1
apologize,1
journal,1
inconvenience,1
cause,1
questions,1
investment efficiency,1
employee treatment,1
treatment labor,1
software engineering,1
higher labor,1
digital signals,1
investigate impact,1
contextual factors,1
analyze impact,1
impact big,1
traits extraversion,1
extraversion agreeableness,1
agreeableness conscientiousness,1
conscientiousness neuroticism,1
neuroticism openness,1
openness experience,1
quantitative survey,1
analyzed smartpls,1
survey conducted,1
programmers working,1
working offshore,1
offshore software,1
software development,1
development projects,1
later analyzed,1
conducted data,1
rapid blitz,1
knowledge collection,1
collection behavior,1
time constraint,1
simultaneity bias,1
inefficient labor,1
differences effects,1
ceodirector ties,1
significance statement,1
significance,1
increasingly clear,1
scientific fields,1
fields readily,1
readily replicable,1
replicable repeated,1
extremely valuable,1
valuable failed,1
risk leaving,1
reducing confidence,1
confidence original,1
scientific transparency,1
transparency statement,1
scientific,1
transparency,1
editorial boards,1
north korean,1
korean male,1
perceived passion,1
language ability,1
language mindsets,1
passion product,1
support immigrants,1
development strategies,1
influencing female,1
decisionmaking specialties,1
specialties specifically,1
specifically surgery,1
surgery interventional,1
electronic survey,1
quantitative data,1
survey created,1
created assess,1
assess qualitative,1
qualitative quantitative,1
electronic,1
data,1
survey,1
created,1
survey sent,1
held university,1
university chicago,1
sent prior,1
prior symposium,1
symposium trainees,1
trainees interested,1
interested pursuing,1
surgery held,1
chicago chicago,1
female trainees,1
responded voluntarily,1
trainees registered,1
registered sent,1
sent survey,1
survey responded,1
voluntarily,1
trainees,1
registered,1
public speaking,1
radiation exposure,1
chemical exposure,1
female planned,1
planned pursue,1
pursue surgery,1
pursuing surgeryir,1
concerned valued,1
valued colleagues,1
charge patients,1
racial discrimination,1
radical innovation,1
people analytics,1
sexual orientation,1
head coaches,1
business occupations,1
green creativity,1
predictors matching,1
matching pediatric,1
pediatric surgery,1
surgery fellowship,1
fellowship determined,1
determined gendered,1
program performed,1
review blinded,1
blinded lor,1
lor fellowship,1
fellowship program,1
retrospective,1
performed,1
review,1
blinded,1
lor contained,1
male lor,1
letters male,1
contained agentic,1
contained active,1
agentic terms,1
future success,1
included sociocommunal,1
sociocommunal phrases,1
referenced spouses,1
implicit associations,1
fasted fed,1
aesthetic labor,1
training green,1
brand evaluations,1
nonfood items,1
food context,1
ethical leadership,1
systematically review,1
discrimination patients,1
review published,1
published exploring,1
exploring workplace,1
color focus,1
focus discrimination,1
systematically,1
authors searched,1
eligible studies,1
searched pubmed,1
pubmed psycinfo,1
psycinfo cinahl,1
cinahl scopus,1
scopus academic,1
academic search,1
search premier,1
premier web,1
experienced physicians,1
discrimination experienced,1
faculty trainees,1
conducted surveys,1
surveys analyzed,1
analyzed data,1
data interviews,1
interviews andor,1
preemployment personality,1
personality trait,1
trait testing,1
interpretation validationbackground,1
screens desirable,1
color comprising,1
comprising growing,1
growing percentage,1
physician workforce,1
identify perceptions,1
academic institutions,1
perceptions environment,1
environment women,1
identify,1
institutions,1
perceptions,1
environment,1
women,1
responses scenarios,1
faculty senior,1
interviews survey,1
survey responses,1
residents randomly,1
randomly selected,1
selected participate,1
participate parallel,1
parallel concurrent,1
concurrent quantitative,1
faculty residents,1
saturation achieved,1
professional advancement,1
gender disparity,1
achieved individuals,1
individuals interviewed,1
interviewed female,1
women reported,1
surgery identified,1
overall participants,1
promotion advancement,1
concerns gaps,1
gaps mentoring,1
mentoring women,1
women versus,1
versus men,1
difficulties finding,1
finding role,1
perceived fairness,1
percentage female,1
female anaesthesiologists,1
income differentials,1
recruiting systems,1
aienabled recruiting,1
academic anaesthesiology,1
software engineer,1
salary offers,1
female candidates,1
discriminatory behaviorbackground,1
conditions employers,1
rate fictitious,1
display slight,1
slight preference,1
vacancy find,1
find different,1
drug convictions,1
housing programs,1
felony drug,1
heightened risk,1
risk poor,1
tests effects,1
effects message,1
message frames,1
affecting social,1
effects frames,1
conducted april,1
april nationally,1
nationally representative,1
representative online,1
online survey,1
survey panel,1
noexposure arm,1
exposure arms,1
arms combining,1
banthebox laws,1
justice impact,1
impact children,1
children framing,1
framing lowered,1
distance measures,1
measures increased,1
increased support,1
support banthebox,1
social justice,1
signaling attachment,1
workplace bias,1
attachment country,1
cycle theory,1
organizational levels,1
country origin,1
turkishsounding names,1
ethical legal,1
legal challenges,1
diagnostic tool,1
implicit explicit,1
computer skills,1
selection task,1
support decisionmaking,1
strategies increase,1
forensic science,1
selection behavior,1
evaluations teaching,1
stem students,1
moral beauty,1
moral goodness,1
worldview conflict,1
data analytics,1
goodness moral,1
beauty judgment,1
cfo tenure,1
tenure cfo,1
conflict prejudice,1
life satisfaction,1
close social,1
construct validity,1
occupations characterized,1
represented occupations,1
turnover intentions,1
socially distant,1
feasibility concerns,1
occupational stereotypes,1
examined eventrelated,1
state meal,1
eventrelated potentials,1
potentials erp,1
erp healthy,1
healthy nonobese,1
nonobese females,1
performed foodrelated,1
foodrelated iat,1
sessions fasted,1
showed differences,1
fasted state,1
congruence categories,1
categories additionally,1
correlated strongly,1
iat effects,1
meal despite,1
despite greater,1
greater implicit,1
implicit hedonic,1
supervisory behavior,1
sense power,1
abusive supervisory,1
physical attractiveness,1
safety construct,1
state sense,1
construct relationships,1
politically connected,1
considerable gender,1
consensus reaching,1
academic promotions,1
gender racial,1
racial disparities,1
qualifications suggesting,1
suggesting bias,1
bias investigators,1
investigators studied,1
process simulating,1
group convergence,1
targeted academic,1
faculty annual,1
annual association,1
association american,1
american colleges,1
colleges aamc,1
aamc meeting,1
dossier male,1
male assistant,1
bias situations,1
statistically significant,1
difference candidates,1
candidates overall,1
overall scores,1
rated candidate,1
candidate lowest,1
ranked activities,1
activities related,1
related diversity,1
career trajectory,1
gender wage,1
males females,1
wage gap,1
trajectory retention,1
statistical power,1
power measure,1
measure intragroup,1
shows promise,1
promise illuminating,1
academic settings,1
passive victims,1
victims agenda,1
agenda neoliberalisation,1
neoliberalisation universities,1
universities seen,1
seen actively,1
actively creating,1
creating ideology,1
ideology manifested,1
desirable futures,1
ambiguity aversion,1
futures constructed,1
constructed strategic,1
strategic plans,1
plans suggest,1
suggest universities,1
universities able,1
able willing,1
willing offer,1
interview process,1
profession seeks,1
affective domain,1
seeks hire,1
hire train,1
train individuals,1
individuals consistently,1
andor exceed,1
exceed job,1
job cultural,1
prospective qualitative,1
qualitative comparison,1
prospective,1
qualitative,1
comparison,1
versus,1
setting dartmouth,1
dartmouth hitchcock,1
hitchcock center,1
center lebanon,1
dartmouth,1
hitchcock,1
center,1
lebanon,1
faculty obtained,1
factors selected,1
participants applicants,1
selected based,1
based job,1
job profile,1
profile interview,1
interview scripts,1
scripts created,1
created validated,1
critical attributes,1
attributes selfmanagement,1
selfmanagement integratorsynthesizer,1
integratorsynthesizer versatility,1
versatility communication,1
communication achievement,1
achievement absolute,1
absolute mean,1
mean difference,1
difference rankapplicant,1
rationale objectives,1
industry proven,1
proven methodology,1
methodology practically,1
practically applied,1
applied define,1
define select,1
select high,1
high performance,1
performance authors,1
evaluate interview,1
selection diagnostic,1
diagnostic radiology,1
radiology resident,1
candidates identify,1
influencing use,1
anonymous question,1
question email,1
provided active,1
active members,1
members association,1
association program,1
program directors,1
directors radiology,1
included questions,1
unstructured interviews,1
alternative techniques,1
number faculty,1
responding programs,1
questions incorporated,1
like multiple,1
multiple miniinterview,1
written prompts,1
casual visual,1
visual cognitive,1
debtlike compensation,1
compensation incentives,1
overseas business,1
cfo debtlike,1
business knowledge,1
labor force,1
incentives associated,1
impact overseas,1
force participation,1
opportunities intervention,1
theoretical framework,1
framework gained,1
gained prominence,1
prominence qualitative,1
inequity intercategorical,1
intercategorical quantitative,1
quantitative applications,1
applications focused,1
focused primarily,1
argue importance,1
different intersections,1
importance quantitative,1
quantitative analytic,1
analytic intersectionality,1
intersectionality identify,1
identify methodological,1
methodological challenges,1
challenges potential,1
potential solutions,1
incorporate mediation,1
index indi,1
mediation exposuremediator,1
exposuremediator interaction,1
interaction use,1
use vanderweeles,1
vanderweeles threeway,1
threeway decomposition,1
decomposition methodology,1
methodology adapt,1
levels discrimination,1
describe actual,1
actual adjusted,1
inequalities psychological,1
psychological distress,1
distress decompose,1
decompose identify,1
comparison groups,1
indigenous sgm,1
sgm versus,1
substantial occupational,1
autochthonous lacking,1
empirical evidence,1
evidence psychosocial,1
minority outpatient,1
outpatient settings,1
settings germany,1
germany comparison,1
identify workrelated,1
workrelated stressors,1
stressors resources,1
resources corresponding,1
corresponding coping,1
strategies migrant,1
privatecommercial services,1
autochthonous employed,1
employed german,1
german homecare,1
homecare sector,1
sector interviewed,1
interviewed qualitative,1
qualitative explorative,1
explorative manner,1
settings,1
interviews took,1
private homes,1
took place,1
place nursing,1
nursing services,1
services premises,1
premises private,1
interviews,1
homes,1
took,1
services randomly,1
randomly chosen,1
homecare providers,1
providers second,1
second largest,1
largest german,1
german federal,1
federal citystate,1
citystate hamburg,1
hamburg invited,1
relevant literature,1
interview guide,1
literature findings,1
findings formed,1
formed base,1
base semistructured,1
key areas,1
barriers resources,1
resources coping,1
regardless origin,1
occupational stressors,1
origin culture,1
culture perceive,1
perceive time,1
time pressure,1
pressure lifting,1
lifting patients,1
patients lack,1
lack appreciation,1
differences language,1
sharing commonalities,1
positive nurseclient,1
known topic,1
topic,1
known,1
growing demand,1
personnel abroad,1
demand care,1
demographic change,1
change leads,1
leads increasing,1
increasing trend,1
trend hire,1
hire healthcare,1
healthcare personnel,1
workplace characterized,1
job dissatisfaction,1
characterized physically,1
physically psychologically,1
psychologically demanding,1
demanding tasks,1
tasks leading,1
leading musculoskeletal,1
musculoskeletal pain,1
pain job,1
migrant healthcare,1
acculturative stress,1
healthcare workers,1
workers experience,1
experience additional,1
additional stressors,1
stressors like,1
like discrimination,1
discrimination practices,1
adds,1
occupational burdens,1
autochthonous share,1
strategies master,1
master occupational,1
burdens,1
differences stressful,1
functioning team,1
team collaboration,1
working nurseclient,1
relationship autochthonous,1
minority nursesbackground,1
different origin,1
origin perceive,1
perceive status,1
status migrants,1
migrants sense,1
sense community,1
community sharing,1
sharing destiny,1
appears resource,1
residency candidates,1
documented candidate,1
candidate selection,1
academic medicine,1
exposed writers,1
writers systematically,1
systematically use,1
use different,1
recommendation letters,1
letters surgery,1
surgery resident,1
resident applicants,1
applicants selected,1
selected interview,1
interview academic,1
academic institution,1
institution analyzed,1
analyzed qualitative,1
letter writers,1
average word,1
word count,1
female applicants,1
writers male,1
count letter,1
analyzed letter,1
professors average,1
higher average,1
nuclear energy,1
public acceptance,1
perceived benefit,1
online activism,1
older workers,1
perceived risk,1
late career,1
acceptance nuclear,1
career planning,1
public engagement,1
published explored,1
subspecialty fellowships,1
explored gender,1
differences letters,1
recommendation applicants,1
applicants entering,1
entering surgical,1
surgical subspecialty,1
conducted retrospective,1
gender author,1
recommendation transplant,1
fellowship written,1
written residents,1
residents finishing,1
finishing general,1
residency programs,1
programs dictionary,1
significantly likely,1
likely contain,1
applicant letters,1
male applicant,1
letters significantly,1
letters written,1
reviewed letters,1
calm delightful,1
recommendation significantly,1
political ideology,1
small significant,1
teacher effectiveness,1
prospective teachersbackground,1
size small,1
recommendation surgical,1
surgical fellowship,1
notable disparities,1
gender biased,1
disparities training,1
recruitment promotion,1
promotion evaluation,1
evaluation men,1
surgery qualitative,1
standout categories,1
identify themes,1
themes written,1
written evaluations,1
evaluations residents,1
performed content,1
words fitting,1
fitting previously,1
previously defined,1
defined communal,1
differences themes,1
standout words,1
female residents,1
residents notable,1
performance references,1
references future,1
future professional,1
professional competency,1
aspire leadership,1
ageist attitudes,1
development authorities,1
workplace contexts,1
agricultural development,1
shape outcomes,1
overweight obese,1
affective polarization,1
opposing party,1
international performance,1
error value,1
procedural justice,1
international entrepreneurial,1
capability international,1
network capability,1
international market,1
entrepreneurial orientation,1
value tradeoff,1
market orientation,1
gscm adoption,1
exposure attractive,1
internal impetus,1
spend money,1
use realactivities,1
discuss implications,1
implications findings,1
mate attraction,1
negative implicit,1
implicit biases,1
suggests sleep,1
sleep restriction,1
reduces cognitive,1
cognitive control,1
influence making,1
making socialevaluative,1
judgments threat,1
threat based,1
fourteen healthy,1
facial photographs,1
karolinska airport,1
airport task,1
healthy adults,1
adults underwent,1
3week counterbalanced,1
counterbalanced inlaboratory,1
inlaboratory stays,1
stays chronic,1
facial features,1
likely deem,1
showing higher,1
arab muslims,1
muslims tended,1
quintessentially untrustworthy,1
relationship nonsignificant,1
participants likely,1
participants showing,1
employee creativity,1
male ceos,1
moderating effect,1
female male,1
vocational interests,1
significant negative,1
effect impact,1
queen bee,1
technological advancement,1
5year period,1
similar women,1
science technology,1
technology engineering,1
engineering mathematics,1
mathematics disciplines,1
medicine subject,1
subject negative,1
negative stereotyping,1
stereotyping adhere,1
graduate education,1
data physician,1
faculty medhub,1
medhub examined,1
examined differences,1
specialties traditionally,1
traditionally low,1
stanford medicine,1
medicine residents,1
residents fellows,1
medhub ratings,1
ratings physician,1
stanford,1
medicine,1
residents,1
total evaluations,1
total,1
evaluations,1
physician,1
female physicians,1
overall female,1
received lower,1
lower median,1
median scores,1
male counterparts,1
analyses controlling,1
citation coverage,1
political science,1
occupational status,1
position leaves,1
workplace segregation,1
graduating occupationally,1
science sociology,1
leaves board,1
cfo position,1
response bias,1
uncanny feeling,1
cfo compensation,1
financial expertise,1
reporting quality,1
psychological capital,1
positive psychological,1
bias hypothesis,1
foreign knowledge,1
judgment biases,1
personality assessments,1
returnee managers,1
social judgment,1
publications lowerrated,1
lowerrated journals,1
domestic firms,1
impact economists,1
influential positions,1
lack diversity,1
observed radiation,1
radiation oncology,1
faculty practicing,1
practicing physicians,1
physicians sought,1
march june,1
verbatim transcripts,1
june conducted,1
conducted telephone,1
telephone interviews,1
invited purposive,1
purposive sampling,1
multiple analysts,1
analysts coded,1
coded verbatim,1
pipeline needed,1
themes identified,1
identified commitment,1
promotes quality,1
quality health,1
health care,1
care innovation,1
innovation gaps,1
gaps remain,1
remain despite,1
remanufactured sales,1
brand equity,1
environmental consciousness,1
leverage remanufactured,1
chairs insights,1
factors leverage,1
insights policyrelevant,1
policyrelevant implications,1
implications bias,1
bias training,1
offers wide,1
wide support,1
shift exploring,1
theory yield,1
reality turn,1
turn generates,1
costs level,1
relevant shed,1
shed light,1
offers insights,1
intelligence capitalbackground,1
educators urged,1
urged integrate,1
competencies teaching,1
teaching objectives,1
objectives second,1
second human,1
sample adults,1
stressor associated,1
associated poorer,1
poorer physical,1
physical mental,1
health outcomes,1
little understanding,1
marginalized populations,1
populations contrast,1
seventyfour adults,1
resonance imaging,1
adults women,1
women african,1
american hispanic,1
hispanic homosexualbisexual,1
homosexualbisexual completed,1
completed selfreport,1
selfreport ratings,1
anxiety factors,1
greater discrimination,1
levels spontaneous,1
activity increases,1
stronger functional,1
neural regions,1
insula putamen,1
putamen caudate,1
collectively findings,1
health outcomesbackground,1
evidence social,1
independently associated,1
associated elevations,1
elevations intrinsic,1
intrinsic amygdala,1
amygdala activity,1
activity functional,1
mexican federal,1
federal government,1
government enacted,1
decriminalizing possession,1
possession small,1
small amounts,1
amounts drugs,1
drugs delegating,1
delegating prosecution,1
prosecution retail,1
municipal police,1
decriminalization provision,1
police incident,1
incident reports,1
reports examined,1
examined patterns,1
violent nonviolent,1
nonviolent crime,1
reforms significant,1
arrest volume,1
significant impact,1
impact number,1
number drug,1
drug possession,1
violent crime,1
arrests controlling,1
sustainable products,1
status characteristics,1
job openings,1
taiwan hospitality,1
hospitality industry,1
types job,1
characteristics theory,1
advancement journey,1
attention paid,1
appearance effect,1
intent understand,1
played journey,1
understand individual,1
organizational factors,1
factors influenced,1
influenced participants,1
participants career,1
career progression,1
progression role,1
helped hindered,1
emerged pathways,1
pathways site,1
site role,1
role informal,1
informal networks,1
networks bias,1
bias credibility,1
credibility legitimacy,1
local labor,1
labor markets,1
negative affect,1
publicly privately,1
employment protection,1
activismbackground objectives,1
fti concerning,1
court discretion,1
external csw,1
support womens,1
shows belief,1
problems predicts,1
predicts decreased,1
decreased public,1
findings fail,1
fail inform,1
reduction prospects,1
prospects manipulating,1
beliefs extant,1
extant experimental,1
man schizophrenia,1
sixtynine undergraduates,1
schizophrenia participants,1
undergraduates believed,1
read bogus,1
bogus scientific,1
scientific attested,1
merely described,1
completed task,1
task required,1
stigma measures,1
continuum intervention,1
decreased selfreported,1
selfreported social,1
social distance,1
distance categorical,1
increased endorsement,1
endorsement damaging,1
damaging stereotypes,1
stereotypes seat,1
limitations,1
sample small,1
seat selection,1
small behavioral,1
behavioral stigma,1
stigma measure,1
modified maximize,1
maximize variability,1
variability participants,1
participants seat,1
sample,1
measurable laboratorybackground,1
modest support,1
support stigma,1
stigma reduction,1
reduction effect,1
effect continuum,1
continuum belief,1
belief intervention,1
evidence pernicious,1
pernicious consequences,1
attrition selected,1
